Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total),Withholding tax,Currency (Withholding tax)
Dividend (Dividend),2025-02-19 12:00:34,NL0010273215,ASML,ASML,3.5,1.29,EUR,Not available,3.75,GBP,0.8,EUR
Dividend (Dividend),2025-02-19 12:05:37,FR0000052292,RMS,Hermes International,0.25,2.63,EUR,Not available,0.54,GBP,0.22,EUR
Dividend (Dividend),2024-02-29 13:48:43,US55354G1004,MSCI,MSCI,0.35,1.36,USD,Not available,0.38,GBP,0.08,USD
Dividend (Dividend),2024-03-27 12:43:51,US67066G1040,NVDA,Nvidia,0.2,0.03,USD,Not available,0.01,GBP,0.0,USD
Dividend (Dividend),2025-01-16 11:30:41,US3024913036,FMC,FMC,25.0,0.49,USD,Not available,10.09,GBP,2.18,USD
Dividend (Dividend),2025-03-12 11:59:36,US78409V1044,SPGI,S&P Global,0.5,0.816,USD,Not available,0.32,GBP,0.07,USD
Dividend (Dividend),2025-03-13 09:20:02,US5949181045,MSFT,Microsoft,2.0,0.7055,USD,Not available,1.09,GBP,0.25,USD
Dividend (Dividend),2025-03-14 12:42:54,IE00BM8R0J59,QYLP,Global X Nasdaq 100 Covered Call,80.0,0.116041,GBP,Not available,9.28,GBP,-0.0,GBP
Dividend (Dividend),2025-01-29 12:55:01,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),15.0,37.9,GBX,Not available,5.68,GBP,0.0,GBX
Dividend (Dividend),2025-02-28 13:46:22,US55354G1004,MSCI,MSCI,3.0,1.53,USD,Not available,3.64,GBP,0.81,USD
Dividend (Dividend),2025-02-28 13:57:51,GB0003718474,GAW,Games Workshop,7.0,155.0,GBX,Not available,10.85,GBP,0.0,GBX
Dividend (Dividend),2025-02-28 14:08:34,IE00BYXVWC37,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),125.0,0.07,GBP,Not available,8.75,GBP,0.0,GBP
Dividend (Dividend),2025-03-03 12:37:40,CA29250N1050,ENB,Enbridge,1.0,0.55,USD,Not available,0.44,GBP,0.1,USD
Dividend (Dividend),2025-01-08 11:40:54,IE0003UVYC20,JEGP,JPMorgan Global Equity Premium Income Active (Dist),50.0,13.34,GBX,Not available,6.67,GBP,-0.0,GBX
Dividend (Dividend),2025-02-14 12:31:47,LU1072616219,BME,B&M European Value Retail,150.0,12.75,GBX,Not available,19.13,GBP,337.5,GBX
Dividend (Dividend),2025-03-07 10:29:50,US7010941042,PH,Parker-Hannifin,1.0,1.39,USD,Not available,1.08,GBP,0.24,USD
Dividend (Dividend),2025-02-26 14:02:05,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),15.0,39.68,GBX,Not available,5.95,GBP,0.0,GBX
